#
#NCNPN@IS	NN UTR PLU IND SMS
AF00000A	PC AN
AF000N0S	PC PRF UTR/NEU SIN/PLU IND/DEF NOM
AF00PN0S	PC PRF UTR/NEU PLU IND/DEF NOM
AF00SGDS	PC PRF UTR/NEU SIN DEF GEN
AF00SNIS	PC PRF UTR/NEU SIN IND NOM
AF0MSNDS	PC PRF MAS SIN DEF NOM
AF0NSNIS	PC PRF NEU SIN IND NOM
AF0USGIS	PC PRF UTR SIN IND GEN
AP000N0S	PC PRS UTR/NEU SIN/PLU IND/DEF NOM
AQC0000C	JJ KOM UTR/NEU SIN/PLU IND/DEF SMS
AQC00N0S	JJ KOM UTR/NEU SIN/PLU IND/DEF NOM
AQP00G0S	JJ POS UTR/NEU SIN/PLU IND/DEF GEN
AQP00NIS	JJ POS UTR/NEU SIN/PLU IND NOM
AQP0PG0S	JJ POS UTR/NEU PLU IND/DEF GEN
AQP0PNIS	JJ POS UTR/NEU PLU IND NOM
AQP0SGIS	JJ POS UTR/NEU SIN IND GEN
AQP0SNDS	JJ POS UTR/NEU SIN DEF NOM
AQPMSGDS	JJ POS MAS SIN DEF GEN
AQPNSGIS	JJ POS NEU SIN IND GEN
AQPNSN0S	JJ POS NEU SIN IND/DEF
AQPU000C	JJ POS UTR - - SMS
AQPUSNIS	JJ POS UTR SIN IND NOM
AQS00NDS	JJ SUV UTR/NEU SIN/PLU DEF NOM
AQS0PNDS	JJ SUV UTR/NEU PLU DEF NOM
AQSMSNDS	JJ SUV MAS SIN DEF NOM
D0@NS@S	DT NEU SIN IND/DEF
DF@0S@S	DT UTR/NEU SIN DEF
DF@NS@S	DT NEU SIN DEF
DH@NS@S	HD NEU SIN IND
DI@00@S	DT UTR/NEU SIN/PLU IND
DI@0P@S	DT UTR/NEU PLU IND
DI@MS@S	DT MAS SIN IND
DI@US@S	DT UTR SIN IND
FP	DL PAD
MC00G0S	RG GEN
MC0SNDS	RG UTR/NEU SIN DEF NOM
MCMSGDS	RO MAS SIN IND/DEF GEN
MCUSNIS	RG UTR SIN IND NOM
MO00G0S	RO GEN
NC000@0A	NN AN
NC000@0C	NN UTR PLU IND SMS
NC000@0S	NN - - - -
NC00N@0S	NN - - - NOM
NC0PG@IS	NN - PLU IND GEN
NC0PN@DS	NN - PLU DEF NOM
NC0SN@IS	NN - SIN IND NOM
NCN00@0C	NN NEU - - SMS
NCN00@0S	NN NEU - - -
NCNPG@IS	NN NEU PLU IND GEN
NCNPN@0S	NN NEU PLU IND/DEF NOM
NCNPN@DS	NN NEU PLU DEF NOM
NCNS0@IC	NN NEU SIN IND SMS
NCNSG@DS	NN NEU SIN DEF GEN
NCNSN@IS	NN NEU SIN IND NOM
NCUPG@0S	NN UTR PLU IND/DEF GEN
NCUPG@DS	NN UTR PLU DEF GEN
NCUPN@IS	NN UTR PLU IND NOM
NCUSG@IS	NN UTR SIN IND GEN
NCUSN@DS	NN UTR SIN DEF NOM
NP00G@0S	PM GEN
PE@000@S	HS DEF
PF@00O@S	PN UTR/NEU SIN/PLU DEF OBJ
PF@0PO@S	PN UTR/NEU PLU DEF OBJ
PF@0PS@S	PN UTR/NEU PLU DEF SUB
PF@NS0@S	PN NEU SIN DEF SUB/OBJ
PF@USO@S	PN UTR SIN DEF OBJ
PF@USS@S	PN UTR SIN DEF SUB
PH@NS0@C	HP NEU SIN IND SMS
PH@NS0@S	HP NEU SIN IND
PI@0P0@S	PN UTR/NEU PLU IND SUB/OBJ
PI@US0@S	PN UTR SIN IND SUB/OBJ
PS@000@A	PS AN
PS@000@S	PS UTR/NEU SIN/PLU DEF
PS@0P0@S	PS UTR/NEU PLU DEF
PS@MS0@S	PS MAS SIN DEF
PS@US0@S	PS UTR SIN DEF
QC	PL SMS
QS	PL
RG0A	AB AN
RG0C	AB SMS
RG0S	AB
RGPS	AB POS
SPA	ABBR
SPC	PP AN
SPS	PP
UNKNOWN	UNKNOWN
V@IIAS	VB PRT AKT
V@IISS	VB PRT SFO
V@IUAS	VB SUP AKT
V@IUSS	VB SUP SFO
V@N0AS	VB INF AKT
V@N0SS	VB INF SFO
V@SIAS	VB KON PRT
V@SISS	VB KON PRT
XF	UO
__$	__$
AF000G0S	PC PRF UTR/NEU SIN/PLU IND/DEF GEN
AF00PG0S	PC PRF UTR/NEU PLU IND/DEF GEN
AF00SNDS	PC PRF UTR/NEU SIN DEF NOM
AF0MSGDS	PC PRF MAS SIN DEF GEN
AF0NSGIS	PC PRF NEU SIN IND GEN
AF0USNIC	PC PRF UTR SIN IND SMS
AF0USNIS	PC PRF UTR SIN IND SMS
AP000G0S	PC PRS UTR/NEU SIN/PLU IND/DEF GEN
AQ00000A	JJ AN
AQC00G0S	JJ KOM UTR/NEU SIN/PLU IND/DEF GEN
AQP0000A	JJ AN
AQP0000C	JJ POS UTR/NEU - - SMS
AQP00N0S	JJ POS UTR/NEU SIN/PLU IND/DEF NOM
AQP0PN0S	JJ POS UTR/NEU PLU IND/DEF NOM
AQP0SGDS	JJ POS UTR/NEU SIN DEF GEN
AQPMSNDS	JJ POS MAS SIN DEF NOM
AQPNSNIS	JJ POS NEU SIN IND NOM
AQPUSGIS	JJ POS UTR SIN IND GEN
AQPUSN0S	JJ POS UTR SIN IND/DEF NOM
AQS00GDS	JJ SUV UTR/NEU SIN/PLU DEF GEN
AQS00NIS	JJ SUV UTR/NEU SIN/PLU IND NOM
AQS0PNIS	JJ SUV UTR/NEU PLU IND NOM
AQSMSGDS	JJ SUV MAS SIN DEF GEN
CCA	KN AN
CCS	KN
CIS	IE
CSS	SN
D0@00@A	DT AN
D0@0P@S	DT UTR/NEU PLU IND/DEF
D0@US@S	DT UTR SIN IND/DEF
DF@0P@S	DT UTR/NEU PLU DEF
DF@MS@S	DT MAS SIN DEF
DF@US@S	DT UTR SIN DEF
DH@0P@S	HD UTR/NEU PLU IND
DH@US@S	HD UTR SIN IND
DI@0S@S	DT UTR/NEU SIN IND
DI@NS@S	DT NEU SIN IND
FE	DL MAD
FI	DL MID
I	IN
MC0000C	RG SMS
MC00N0S	RG NOM
MCMSNDS	RG MAS SIN DEF NOM
MCNSNIS	RG NEU SIN IND NOM
MO0000C	RO UTR/NEU SIN/PLU IND/DEF SMS          
MO00N0S	RO NOM
MOMSNDS	RO MAS SIN IND/DEF NOM
NC00G@0S	NN - - - GEN
NC0PG@DS	NN - PLU DEF GEN
NC0PN@IS	NN - PLU IND NOM
NC0SG@IS	NN - SIN IND GEN
NCNPG@DS	NN NEU PLU DEF GEN
NCNPN@IS	NN NEU PLU IND NOM
NCNSG@IS	NN NEU SIN IND GEN
NCNSN@DS	NN NEU SIN DEF NOM
NCU00@0C	NN UTR - - SMS
NCU00@0S	NN UTR - - -
NCUPG@IS	NN UTR PLU IND GEN
NCUPN@0S	NN UTR PLU IND/DEF NOM
NCUPN@DS	NN UTR PLU DEF NOM
NCUS0@IC	NN UTR SIN IND SMS
NCUSG@DS	NN UTR SIN DEF GEN
NCUSN@IS	NN UTR SIN IND NOM
NP000@0C	PM SMS
NP00N@0S	PM NOM
PF@0P0@S	PN UTR/NEU PLU DEF SUB/OBJ
PF@MS0@S	PN MAS SIN DEF SUB/OBJ
PF@UPO@S	PN UTR PLU DEF OBJ
PF@UPS@S	PN UTR PLU DEF SUB
PF@US0@S	PN UTR SIN DEF SUB/OBJ
PH@000@S	HP - - -
PH@0P0@S	HP UTR/NEU PLU IND
PH@US0@S	HP UTR SIN IND
PI@NS0@S	PN NEU SIN IND SUB/OBJ
PI@USS@S	PN UTR SIN IND SUB
PS@NS0@S	PS NEU SIN DEF
RGCS	AB KOM
RGSS	AB SUV
RH0S	HA
V@000A	VB AN
V@000C	VB SMS
V@IPAS	VB PRS AKT
V@IPSS	VB PRS SFO
V@M0AS	VB IMP AKT
V@M0SS	VB IMP SFO
V@SPAS	VB KON PRS
