#
!	FE	FI
!!!	FE
!?	FE
"	FP
,	FI
.	FE	FI
..	FE	FI
...	FE	FI
....	FE
......	FE
..?	FE
Mått	NCNPN@IS	NCNSN@IS	V@IUAS
Mått-	NCN00@0C
mått	NCNPN@IS	NCNSN@IS	V@IUAS
mått-	NCN00@0C
Fader	NCUSN@IS
fader	NCUSN@IS
Modern	AQPUSNIS	NCUSN@DS
modern	AQPUSNIS	NCUSN@DS
NILSSON	NP00N@0S
Nilsson	NP00N@0S
nilsson	NP00N@0S
EN	DI@US@S
En	DI@US@S	MCUSNIS	NCUSN@IS	NP00N@0S	PI@US0@S	RG0S	XF
En-	MC0000C	NCU00@0C
en	DI@US@S	MCUSNIS	NCUSN@IS	NP00N@0S	PI@US0@S	RG0S	XF
en-	MC0000C	NCU00@0C
Hade	V@IIAS
hade	V@IIAS
väska	NCUSN@IS
Väska	NCUSN@IS
"Bäst-före"-datum	NCNSN@IS
"D"-receptorer	NCUPN@IS
"M"-receptorer	NCUPN@IS
"McTrain"-restaurangvagnen	NCUSN@DS
"Svenskt-det-lönar-sig"-kampanjen	NCUSN@DS
"beauty"-kvark	NCUSN@IS
"bottom"-kvark	NCUSN@IS
"covering-law"-modellen	NCUSN@DS
"nu-vill-jag-att-du-ska-berätta-din-egen-historia-om-Niels-Jerne"-situation	NCUSN@IS
"off-record"-karaktär	NCUSN@IS
"tutor"-system	NCNSN@IS
"vi"-känsla	NCUSN@IS
"wide-body"-flygplan	NCNPN@IS
&	CCA
&OHgr;	NC000@0A
&PSgr;	NP00N@0S
&PSgr;&apos;	NP00N@0S
&Scaron;afa&rcaron;ík	NP00N@0S
&Ugr;	NC000@0A
&Ugr;-partikelns	NCUSG@DS
&apos;	FP
&apos;89	MC00N0S
&apos;a	DF@US@S
&apos;ar	V@IPAS
&apos;at	PF@NS0@S
&apos;n	DF@US@S	PF@US0@S	XF
&apos;n&apos;	XF
&apos;re	PF@NS0@S
&apos;t	PF@NS0@S
&ccaron;e&scaron;tina	XF
&ccaron;eského	NP00N@0S
&pgr;	MC00N0S
&pgr;-mesonen	NCUSN@DS
&pgr;-mesoner	NCUPN@IS
&pgr;-mesonerna	NCUPN@DS
&rcaron;eci	XF
&rcaron;id&ccaron;.	XF
&zcaron;eny	XF
(	FP
(1)	MC00N0S
(2)	MC00N0S
(3)	MC00N0S
(4)	MC00N0S
(EVF)-värde	NCNSN@IS
(a)	NCNSN@IS
(b)	NCNSN@IS
(re)producera	V@N0AS
(över)tydliga	AQP0PN0S
)	FP
*	FI
+	FI
+/-	FI
+1	MC00N0S
+15	MC00N0S
+2	MC00N0S
+40	MC00N0S
+5	MC00N0S
,1992	MC00N0S
-	FI
---	FE	FI
-1	MC00N0S
-10	MC00N0S
-12	MC00N0S
-14	MC00N0S
-15	MC00N0S
-17	MC00N0S
-2	MC00N0S
-2.0	MC00N0S
-22	MC00N0S
-23	MC00N0S
-273	MC00N0S
-322	MC00N0S
-323	MC00N0S
-325	MC00N0S
-332	MC00N0S
-335	MC00N0S
-336	MC00N0S
-338	MC00N0S
-347	MC00N0S
-348	MC00N0S
-357	MC00N0S
-385	MC00N0S
-387	MC00N0S
-404	MC00N0S
-43	MC00N0S
-430	MC00N0S
-431	MC00N0S
-450	MC00N0S
-49	MC00N0S
-68	MC00N0S
-8	MC00N0S
-80	MC00N0S
-83	MC00N0S
-85	MC00N0S
-86	MC0000C
-88	MC00N0S
-89	MC00N0S
-90	MC00N0S
-91	MC00N0S
-92	MC00N0S
-93	MC00N0S
-96	MC00N0S
->	FI
-ama	XF
-biografer	NCU00@0C
-ksi	XF
-lösningar	NCUPN@IS
-metoder	NCUPN@IS
-na	XF
-ách	XF
.177	MC00N0S
.177-kulan	NCUSN@DS
.177-luftgevär	NCNSN@IS
.22	MC00N0S
.22-an	NCUSN@DS
.22-luftgevär	NCNSN@IS
