noll	n 'o l
en	'e n
ett	'e t
två	t v 'o:
tre	t r 'e:
fyra	f "y: . r ,a
fem	f 'e m
sex	s 'e k s
sju	x 'uu:
åtta	"o . t ,a
nio	n "i: . ,u
tio	t "i: . ,u
elva	"e l . v ,a
tolv	t 'o l v
tretton	t r "e . t ,o n
fjorton	f j "u: . rt ,o n
femton	f "e m . t ,o n
sexton	s "e k . s t ,o n
sjutton	x "uu . t ,o n
arton	"a: . rt ,o n
nitton	n "i . t ,o n
tjugo	c "uu: . g ,u
trettio	t r 'e . t ih . u
fyrtio	f 'oe . rt ih . u
femtio	f 'e m . t ih . u
sextio	s 'e k . s t ih . u
sjuttio	x 'uu . t ih . u
åttio	'o . t ih . u
nittio	n 'i . t ih . u
hundra	h 'uu n . d r a
tusen	t 'uu: . s ex n
ettusen	'e t | t 'uu: . s ex n
miljon	m i l . j 'u: n
miljoner	m i l . j 'u: . n ex r
miljard	m i l . j 'a: rd
miljarder	m i l . j 'a: . rd ex r
första	f "oe . rs rt ,a
förste	f "oe . rs rt ,ex
andra	"a n . d r ,a
andre	"a n . d r ,ex
tredje	t r "e: . d j ,ex
fjärde	f j "ae: . rd ,ex
femte	f "e m . t ,ex
sjätte	x "ä . t ,e
sjunde	x "uu n . d ,ex
åttonde	"o . t o n . d ,ex
nionde	n "i: . o n . d ,ex
tionde	t "i: . o n . d ,ex
elfte	"e l f . t ,ex
tolfte	t "o l f . t ,ex
trettonde	t r "e . t ,o n . d ex
fjortonde	f j "u: . rt ,o n . d ex
femtonde	f "e m . t ,o n . d ex
sextonde	s "e k . s t ,o n . d ex
sjuttonde	x "uu . t ,o n . d ex
artonde	"a: . rt ,o n . d ex
nittonde	n "i . t ,o n . d ex
tjugonde	c "uu: . g ,o n . d ex
trettionde	t r "e . t ih . ,o n . d ex
fyrtionde	f "oe . rt ih . ,o n . d ex
femtionde	f "e m . t ih . ,o n . d ex
sextionde	s "e k . s t ih . ,o n . d ex
sjuttionde	x "uu . t ih . ,o n . d ex
åttionde	"o . t ih . ,o n . d ex
nittionde	n "i . t ih . ,o n . d ex
hundrade	h "uu n . d r ,a . d ex
tusende	t "uu: . s ,e n . d ex
miljonte	m i l . j "u: n . t ,ex
